,head,qa,rel,ans
1671,m.0dl567,what are all songs by taylor swift,['music.artist.track'],g.11b6fywgy8|g.11b6g79x_n|g.11b6g7xlbr|g.11b6gfndrd|g.11b6qw8npk|g.11b7sn7ckn|g.11bbmmmzdk|g.11bbmqlwyn|m.0__7h7j|m.0__bt4k|m.0__hktv|m.0_lzhz_|m.0_zjxlc|m.0_zwyr_|m.0_zz0s5|m.0107z1wn|m.010c82m0|m.010xrdsz|m.010zwz7d|m.011dm0kg|m.011mj4yj|m.012c_tmc|m.012cl8zt|m.012cmprs|m.012cpwcw|m.012cpxsy|m.012cq77p|m.012crkr5|m.012crpqb|m.012cts7b|m.012cw4_b|m.012cyk0_|m.012d18p3|m.012d2_44|m.012d2gpq|m.012d2hyb|m.012d2jbx|m.012d2n2p|m.012d2wtc|m.012d3mjf|m.012d3qyr|m.012d3vgl|m.012m_329|m.012yhdh2|m.012yhgvt|m.0132f_jk|m.01336qln|m.0133fbzy|m.0133mp53|m.0133rw8f|m.0133zkfk|m.0135_8gs|m.0135_rx4|m.01350fh0|m.01352vxs|m.01354b8s|m.01355dvj|m.0135g77g|m.0135kwkf|m.0135mkj9|m.0135rktj|m.0135wtjz|m.0135yxdt|m.013629wl|m.0136j846|m.0138_hrc|m.0dmb5l2|m.0dmqh2h|m.0dmrrk8|m.0dmynr_|m.0dmynr6|m.0dmynrc|m.0dmynrk|m.0dmyns4|m.0dmynsc|m.0dmynsk|m.0dmynsw|m.0dmynt9|m.0dmynts|m.0dn8q74|m.0dnq6v4|m.0dpw8pk|m.0dpy964|m.0ds4vjv|m.0ds8cz4|m.0dt75lc|m.0dt93rf|m.0dtfl4n|m.0dv1k5q|m.0dv1ss2|m.0dw3c6b|m.0dwfskh|m.0dwfskq|m.0dwfskz|m.0dwfslk|m.0dwfsm6|m.0dwfsnr|m.0dwsjs8|m.0dx58l3|m.0dx7pw3|m.0dxkzz7|m.0dyrbny|m.0dz5crk|m.0dz5crp|m.0dz5crx|m.0dz5cs4|m.0dz5cs8|m.0dz5ctb|m.0dz5ctj|m.0dz5ctq|m.0dz5ctz|m.0dz5cv2|m.0f0cxf3|m.0f24ksw|m.0f2kljj|m.0f33l7t|m.0f390pn|m.0f57blh|m.0f5gjtc|m.0f70swr|m.0f7n0kp|m.0f7tvv1|m.0f8lw_j|m.0f8lx09|m.0fbffxs|m.0fbns_y|m.0fbnt22|m.0fcfzp3|m.0fdvv1f|m.0fr_8lb|m.0ft4bv2|m.0fx2mns|m.0fxs5hc|m.0fxsggh|m.0fydjhq|m.0g02lqx|m.0g02lr_|m.0g10znk|m.0g126d9|m.0g16rx7|m.0g6_vw8|m.0g6ddk2|m.0g6h2_h|m.0g6hnv7|m.0g6ky9y|m.0g6vdy3|m.0g6vkbk|m.0g6vkbn|m.0g6vkbw|m.0g6vkc1|m.0g6vkc5|m.0g6vkc8|m.0g6vkcc|m.0g6vkcg|m.0g6vkcm|m.0g6vkcr|m.0g7hb9p|m.0g7mdl2|m.0g7vnhz|m.0g7z206|m.0g7z20y|m.0gd_s7j|m.0gdvtvn|m.0j6wxrx|m.0j6wxs5|m.0jxx6w7|m.0lhbb75|m.0lhbb78|m.0lhbb7c|m.0lhbb7h|m.0lx2t7|m.0n4qz3_|m.0ndp70n|m.0ndp711|m.0ndp71b|m.0ndp71l|m.0ndp726|m.0ndp735|m.0ndp73f|m.0ndp73q|m.0ndp73z|m.0ndp748|m.0ndp74k|m.0ndp74t|m.0ndp75h|m.0ndp75t|m.0ndp762|m.0ndp7qs|m.0nl1g4b|m.0nl3sr1|m.0nl7_my|m.0nlpyqd|m.0nlrfpv|m.0nltdgy|m.0nm4wwy|m.0nm605s|m.0nmhb42|m.0nmjx_8|m.0nmw5vp|m.0nn_1hy|m.0nn6npq|m.0nn839l|m.0nnbr00|m.0nnklrg|m.0nnn_t7|m.0nnq4mh|m.0nns5jr|m.0nnvvpm|m.0pb_grk|m.0pn7j7|m.0q6z173|m.0q8bf7v|m.0qbdb_n|m.0qcg30m|m.0qd9f0p|m.0qddnzy|m.0qh1mj4|m.0qjt3kn|m.0qjv82n|m.0r83wr|m.0r83wz|m.0rf0fsw|m.0rf0ych|m.0rf0ym7|m.0rf17g_|m.0rf1h72|m.0rf1hjf|m.0rf1qx_|m.0rf3nx8|m.0rf4_43|m.0rf4kwh|m.0rk_y2b|m.0shpbt5|m.0shppk5|m.0shq36n|m.0sj_32k|m.0sjd568|m.0sjk_1s|m.0sjv8_n|m.0sk34fs|m.0sk5g3_|m.0sk6fzc|m.0skltqq|m.0sll4vs|m.0sm5vxz|m.0sm9_yp|m.0smls14|m.0snmml6|m.0sqc347|m.0sszc3c|m.0vy28w1|m.0vy7434|m.0vyqcvk|m.0vysn54|m.0x2v32t|m.0yb266k|m.0ycrg18|m.0z49b3m|m.0zb3pw5
1672,m.03y82t6,what instruments does katy perry play,['music.artist.track_contributions|music.track_contribution.role'],m.0290ngj
1673,m.031t2,who was francis drake married to,['people.person.spouse_s|people.marriage.spouse'],m.0k1nmz5|m.0k1nmzm
1674,m.0n0y5,where were the chickasaw indians located,['people.ethnicity.geographic_distribution'],m.05mph
1675,m.014wm_,where does don king live,['people.person.places_lived|people.place_lived.location'],m.01sn3
1676,m.01xk1x,who did deborah sampson married,['people.person.spouse_s|people.marriage.spouse'],m.0j6bn1p
1677,m.0b90_r,what form of government does mexico,['location.country.form_of_government'],m.01d9r3|m.0c9rw5|m.0j729
1678,m.0f778b,who played mickey on days of our lives,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.0345r9|m.044xpb|m.04mm_3
1679,m.05dbf,what movies does nicole kidman star in,['film.actor.film|film.performance.film'],m.011yxg|m.012hf4j4|m.012stndr|m.01hr1|m.01pvl7|m.02_nsc|m.023g6w|m.026hh0m|m.026qnh6|m.0279yx9|m.029xhb|m.02cbhg|m.02qcr|m.02rzvmr|m.032z3r|m.033pck|m.034bm_|m.034qbx|m.034scm|m.03lvwp|m.03ntbmw|m.03tsys|m.03y062v|m.046dr3|m.0479x3x|m.04dsq7v|m.04dsq98|m.04dsqb0|m.04dsqd4|m.04dsqdp|m.04dsqpq|m.04j2wxr|m.04jplwp|m.04nnpw|m.04w4_f|m.04w7rn|m.05650n|m.05fm6m|m.05k2xy|m.06wmkz|m.07626w|m.07jd8j|m.07sc1vd|m.08v5s3f|m.095zlp|m.09gcrsw|m.09qh12|m.0bshwmp|m.0cc703f|m.0cc8620|m.0cnxqm5|m.0crs9nr|m.0cy6r9|m.0dd8wdq|m.0ds27b|m.0gkr31c|m.0gx938d|m.0gx9hr9|m.0gx9j_c|m.0jl14xf|m.0m9tw|m.0n5wg2n|m.0ngns90|m.0wy31xz|m.0x0jk5v|m.0zbdddm|m.0zcpz3h
1680,m.0d6lp,where to stay in san francisco ca,['travel.travel_destination.accommodation'],m.0283jp6|m.03ywbh3|m.0c9ldc|m.0f241m
1681,m.05cb70,what team does reggie bush play for 2011,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.04vn5|m.05g3v
1682,m.0d8pw,where did kate chopin grow up,['people.person.place_of_birth'],m.06wxw
1683,m.027rn,who is the current president of dominican republic 2011,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.02_vvc
1684,m.035qy,what money system does greece use,['location.country.currency_used'],m.02l6h
1685,m.0fkm7,who played obi wan kenobi in phantom menace,['film.film.starring|film.performance.actor'],m.0k269|m.0k269
1686,m.0d35y,what is the newspaper in phoenix,['periodicals.newspaper_circulation_area.newspapers'],m.03cgzvj|m.041jxp|m.09kqp8|m.0bmwns
1687,m.02vpng6,where is luke bryan from,['people.person.place_of_birth'],m.0rxrq
1688,m.0hmyfsv,who invented facebook wikipedia,['organization.organization.founders'],m.076zfg8|m.086dny|m.0cm9z65|m.0d8xb7|m.0gh3lq
1689,m.06mkj,what country surrounds spain,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.035hm|m.04wgh|m.05r4w|m.0f8l9c|m.0hg5
1690,m.03_j8,where did captain james cook grow up,['people.person.place_of_birth'],m.045_cx
1691,m.06q07,where is sony headquarters located,['organization.organization.headquarters|location.mailing_address.citytown'],m.024bqj
1692,m.0f2y0,who wore the darth vader suit in revenge of the sith,['film.film.starring|film.performance.actor'],m.0f276|m.0f276
1693,m.02114t,what movies has scarlett johansson in,['film.actor.film|film.performance.film'],m.0110nff9|m.0125zrjx|m.01jzyf|m.01n30p|m.0209xj|m.02qpt1w|m.02rq3jq|m.02vdw6|m.033g39|m.033s0w|m.03bzjpm|m.03rtz1|m.03t6l4|m.03vfr_|m.0435vm|m.04fvch|m.04gcw8|m.04j1zl8|m.05fmsx|m.05qbckf|m.062zm5h|m.0693hm|m.06gjk9|m.07l5v6|m.07z6xs|m.084302|m.09jcj6|m.0c0rz3|m.0ds1glg|m.0dy575|m.0fgpvf|m.0fldjy|m.0g1vcm|m.0g4nxzt|m.0gxbjgn|m.0gyy53|m.0hz07jj|m.0jzt8tx|m.0kd0k5k|m.0lq6fb5|m.0n15g8q|m.0w1rtg8|m.0w36vqd
1694,m.01f492,where is alex rodriguez from,['people.person.place_of_birth'],m.018z6h
1695,m.04sb4,who invented morse code,['law.invention.inventor'],m.06q6n
1696,m.07_m9_,what happened to adolf hitler at the end of the war,['people.deceased_person.cause_of_death'],m.02qnd1b|m.06z5s
1697,m.02jx1,what is the political system in england,['location.country.form_of_government'],m.01q20|m.07mq4k
1698,m.06c0j,who was vice president under ronald reagan,['government.us_president.vice_president'],m.034ls
1699,m.06hrk,what does rupert murdoch own 2012,['organization.organization_founder.organizations_founded'],m.02z_b|m.03p1p8r|m.04w2dc|m.05bgd7|m.08v17y|m.0cjdk|m.0gjb3y5|m.0n_hqj6|m.0sxdg|m.0vsck0t
1700,m.083pr,where did william howard taft go to high school,['people.person.education|education.education.institution'],m.0gg3dm
1701,m.0jm74,when did the chicago bulls win their first championship,['sports.sports_team.championships'],m.08x9qv
1702,m.0b90_r,which four states touch mexico,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.01n7q
1703,m.01bmlb,what did sammy davis jr die of,['people.deceased_person.cause_of_death'],m.021plp|m.054rzc
1704,m.0hwfl,what did anna nicole smith died from,['people.deceased_person.cause_of_death'],m.01tf_6
1705,m.031t2,what country did francis drake explored for,['people.person.nationality'],m.024pcx|m.02jx1
1706,m.03519,what two countries share a border with the great lakes,['location.location.partially_containedby'],m.09c7w0|m.0d060g
1707,m.03l295,what year did dwayne wade came to the nba,['sports.drafted_athlete.drafted|sports.sports_league_draft_pick.draft'],m.038c0q
1708,m.0h6mq,where did jackie kennedy go to college,['people.person.education|education.education.institution'],m.01ljpm|m.01nnsv|m.0lk0l|m.0pspl
1709,m.07r1h,what religion does tom cruise follow,['base.popstra.celebrity.religion|base.popstra.religion_choice.religion'],m.06nzl|m.06nzl|m.0c8wxp
1710,m.0fk39,what language do lakota indians speak,['people.ethnicity.languages_spoken'],m.02h40lc|m.02k899
1711,m.06mkj,what is the money called in spain,['location.country.currency_used'],m.02l6h
1712,m.036mk,where is the great pyramid of giza situated,['architecture.building.building_complex'],m.06bkmh|m.06bkmh|m.02k54|m.06bkmh
1713,m.07t21,what money is used in the ukraine,['location.country.currency_used'],m.035qkb
1714,m.0h25,where did ayn rand live,['people.person.places_lived|people.place_lived.location'],m.06pr6
1715,m.07t65,where are the headquarters of the united nations organization found,['organization.organization.headquarters|location.mailing_address.citytown'],m.02_286|m.02_286
1716,m.0gcgd,what influenced roy lichtenstein artwork,['influence.influence_node.influenced_by'],m.01sj_s|m.04187y|m.0gcjf
1717,m.0271_s,what state did romney governor,['government.politician.government_positions_held|government.government_position_held.jurisdiction_of_office'],m.05k7sb
1718,m.0jmt7,which countries border lake victoria,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.019rg5|m.07dzf|m.07tp2
1719,m.03m6_z,what movies does ryan gosling star in,['film.actor.film|film.performance.film'],g.11by0vcm_y|m.01262msv|m.023gxx|m.026k37r|m.02x0fs9|m.02x18l|m.043k1_h|m.047tsx3|m.04j1bgz|m.0583wk|m.05ft32|m.08gv6s|m.093d8j0|m.0cyn0z|m.0d78m2r|m.0ddf2bm|m.0dgrqg|m.0dryx2|m.0g4vmj8|m.0gg5qcw|m.0gx997r|m.0gx999d|m.0gx99m8|m.0nh4bl2|m.0v_c6kv|m.0y4qznp|m.0z8ngl9
1720,m.0498y,where is kentucky located,['location.location.containedby'],m.04_1l0v|m.09c7w0|m.0hzc9m5
1721,m.042dk,where john tyler was born,['people.person.place_of_birth'],m.0mp6c
1722,m.07cbs,what place did thomas jefferson died,['people.deceased_person.place_of_death'],m.0mp3l
1723,m.0f8l9c,what is the time zone in france,['location.location.time_zones'],m.02llzg
1724,m.05vz3zq,what kind of economy was the soviet union,['location.country.form_of_government'],m.01fkst|m.025tbxf|m.06zgbt|m.0glnsx
1725,m.0r0jv,what county is lancaster ca located in,['location.hud_county_place.county'],m.0kpys|m.0kpys
1726,m.01yqrk,who is steve nash married to,['people.person.spouse_s|people.marriage.spouse'],m.0j2lxjb
1727,m.01y49,what is the name of the bengals quarterback,['sports.sports_team.roster|sports.sports_team_roster.player'],m.02x7_7p|m.05w0_k|m.0h62tzz
1728,m.025s5v9,what do michelle obama do for a living,['people.person.profession'],m.04gc2|m.0cbd2
1729,m.0fg8vz,who does paul wesley play in 24,['tv.tv_actor.starring_roles|tv.regular_tv_appearance.character'],m.0gz5g0c
1730,m.0chghy,what continent is australia in,['location.location.containedby'],m.05nrg|m.09pkq0
1731,m.0xdbn,where is spanish springs nv,['location.location.containedby'],m.0n6mc
1732,m.0flw86,what is the name of the sacred text of islam,['religion.religion.texts'],m.02q8xdw|m.03hf62|m.045_sj|m.0482d5|m.04b286|m.04b297|m.04b29y|m.04b3hq|m.04fvry|m.04g0_k|m.04vm2_|m.04vm29|m.04vm2n|m.04vm51|m.04vpdh|m.04vpfj|m.04vqkh|m.04vy82|m.04vy9w|m.04vyhl|m.04vyms|m.04vyn3|m.052nbg|m.0539s0|m.05jlpz|m.074jc|m.096tx
1733,m.06c97,where did richard nixon go to high school,['people.person.education|education.education.institution'],m.0cg131|m.0ftsh5
1734,m.0kvf6s,who stars in the movie fred claus,['film.film.starring|film.performance.actor'],m.014x77|m.018yhr|m.01ppx3y|m.01vw37m|m.025_dd9|m.0272ndr|m.02kxwk|m.02qh8t4|m.02ws5y4|m.0315q3|m.03gh163|m.03gh16t|m.03gh1q4|m.03xfbt|m.03y9w53|m.048lv|m.051_j70|m.0525b|m.063_8bk|m.0716t2|m.07kbjh6|m.07y8l9|m.08w3r6|m.09gd973|m.0b1q7c|m.0bfm8zf|m.0bj704q|m.0bj709x|m.0bv74_7|m.0bv74z0|m.0bv74zd|m.0bv74zl|m.0cz5jr|m.0dly00|m.0f9pq6|m.0g3q_y|m.0gbxgtc|m.0gc007n|m.0gc0pxm|m.0gc3743|m.0gcbf41|m.0gcjnj3|m.0gcjsml|m.0gd2wd8|m.0gdkpjg|m.0gvqzsh|m.0hh47jg|m.0j5d74k|m.0k22v_|m.0k3qlry|m.0kdy2xn|m.0n22hp9|m.0ngwnpv|m.0pdswyx|m.0r40qwl|m.0t_rc4s|m.0tl2hpw|m.0tlcz16|m.0tlhsth|m.0tlmpn5|m.0v2dfl3|m.0v2gfpj|m.0v2hrt5|m.0v4q56z|m.0v4ql2k|m.0v4ynyp|m.0vt1_tf|m.0vtj3fw|m.0vx15s6|m.0vx433t|m.0vxdkkp|m.0vxxkyv|m.0w2jkr9|m.0y__b55|m.0y__tqn|m.0y_wytl|m.0y_xlpl|m.0y_yt24|m.0y_yynn|m.0y_z2md|m.0y_z8q4|m.0y5545f|m.0y84k_g|m.0ynd6d4|m.0ywk6h9|m.0ywp0k2|m.0ywpl5c|m.0yxc5r4|m.0yxd4_r|m.0yz7bgn|m.0yz99jh|m.0yzc0sy|m.0yzg7cn|m.0yzk10q|m.0z00ky1|m.0z00yyd|m.0z01f40|m.0z020lf|m.0z03lb6|m.0z04dmc|m.0z0517n|m.0z05dck|m.0z06qxm|m.0z085vz|m.0z0bk9n|m.0z0c0nh|m.0z0d8kn|m.0z0dzk5|m.0z0f4xg|m.0z0fcbk|m.0z0ffly|m.0z0fwhf|m.0z0g0rp|m.0z0g6h_|m.0z0gmwy|m.0z0h3m8|m.0z0hqqv|m.0z0jcf0|m.0z0jnc4|m.0z0jpvj|m.0z0kgzh|m.0z0kn8z|m.0z0lhrn|m.0z0lp7_|m.0z0md82|m.0z0mm5j|m.0z0mz2y|m.0z0nccl|m.0z0njfb|m.0z0np5c|m.0z0nspt|m.0z0nxdk|m.0z0p16k|m.0z0p6jf|m.0z0p9cc|m.0z0qc4k|m.0z0qnsm|m.0z0qv6h|m.0z22bwg|m.0z7dgsw|m.0zb1986|m.0zb1r36|m.0zb1t67|m.0zbdyz5|m.0zbf0wf|m.0zbf1w7|m.0zcbl
1735,m.051znky,where did madoff live,['people.person.places_lived|people.place_lived.location'],m.0cc56|m.0ccvx|m.0f8l9c|m.0rqf1|m.0y34j|m.0y8vm
1736,m.01bmlb,what killed sammy davis jr,['people.deceased_person.cause_of_death'],m.021plp|m.054rzc
1737,m.01_d4,where to hang out in chicago,['travel.travel_destination.tourist_attractions'],m.01dlzc|m.021czc|m.025v4fb|m.027hqc_|m.02jw0z|m.02rvwrv|m.02vv_6w|m.03y4l3|m.04h9qj|m.05zv09|m.06_7k|m.07qbm4|m.094154|m.0b0sh|m.0b28z|m.0bl8mx|m.0c7ln|m.0d9wz|m.0g_8d0|m.0j2m3px|m.0n4_xtw|m.0n8yyvt|m.0w7m2x9
1738,m.071vr,what are the best things to do in san diego,['travel.travel_destination.tourist_attractions'],m.01094zpg|m.01v05h|m.02400r|m.028bh_9|m.02pt3vb|m.033zn0|m.03yncwm|m.04c6gj|m.04rfpv|m.06qlyn|m.096pq|m.09f7hq|m.0c8cjw|m.0fnfb4|m.0g4y9s|m.0g72c|m.0gyhsd
1739,m.01p8s,what currency do you use in costa rica,['location.country.currency_used'],m.04wccn
1740,m.0488g,who are the senators of kansas 2013,['government.political_district.representatives|government.government_position_held.office_holder'],m.01_pdv|m.024s8t
1741,m.07t21,what is the official language of the ukraine,['location.country.languages_spoken'],m.012v8|m.019yz7|m.01h2j_|m.02hxc3j|m.02ztjwg|m.06b_j|m.0cjk9|m.0cjk9
1742,m.02_p0,who won 2001 fa cup,['sports.sports_award_type.winners|sports.sports_award.award_winner'],m.04ltf
1743,m.01qyy3,what songs did duane allman sing,['music.artist.track'],m.010j02n8|m.018qx62|m.0ffgh6q|m.0m4ctt|m.0rjzm0|m.0rjznb|m.0rqckq5|m.0rqckqv|m.0rqckrk|m.0rqckrt|m.0rqckwf|m.0rqcm2_|m.0rqcm3s|m.0rqcm4b|m.0rqcm4r|m.0rqcm5w|m.0rqcm6b|m.0rqcm77|m.0rqcm7x|m.0rqcm89|m.0rqcm96|m.0rqcmb7|m.0rqcmbr|m.0rqcq9y|m.0rqcqbt|m.0rqcqc_|m.0rqcqcb|m.0rqcqdn|m.0rqcqf_|m.0rqcqf4|m.0rqcqg7|m.0rqcqgz|m.0rqcqj_|m.0rqcqjh|m.0rqcqky|m.0rqcqlw|m.0rqcqnf|m.0rqcqpl|m.0rqcqqp|m.0rqcqry|m.0rqcqs_|m.0rqcqsq|m.0rqcqv6|m.0rqcqw3|m.0rqcw_3|m.0rqcw_m|m.0rqcwbn|m.0rqcwd_|m.0rqcwgg|m.0rqcwhf|m.0rqcwjq|m.0rqcwn9|m.0rqcwqb|m.0rqcwsb|m.0rqcwth|m.0rqcwvx|m.0rqcwy8|m.0rqcwzl|m.0rqcx02|m.0rqcx0n|m.0rqcx16|m.0rqczgf|m.0rqczh4|m.0rqczj4|m.0rqczjq|m.0rqczk3|m.0rqczlb|m.0rqczlx|m.0rqczpv|m.0rqczqf|m.0rqczqp|m.0rqczrv|m.0rqczt5|m.0rqcztv|m.0rqczy1|m.0rqczzb|m.0rqg5dc|m.0rqg5dp|m.0rqg5dw|m.0rqg5fh|m.0rqg5fs|m.0rqg5g0|m.0rqg5g8|m.0rqg5h9|m.0yhd46
1744,m.0f2y0,who played darth vader in the original star wars movies,['film.film_character.portrayed_in_films|film.performance.actor'],m.03xblf|m.0f6_x
1745,m.07kp8n,what team did joe hart play for before man city,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.02b1l_
1746,m.02114t,who did scarlett johansson married,['people.person.spouse_s|people.marriage.spouse'],m.036hf4
1747,m.0443ql,what team did doug williams play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.01n_xh|m.07l24|m.084l5|m.0gj8lsd
1748,m.05v8c,what are the different sports in the philippines,['sports.sports_team_location.teams'],m.04k3r_|m.07k3_n0|m.0ll4ndn
1749,m.07ylj,who won the presidential race in venezuela,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.01g1_m|m.02ntqk|m.038prm|m.06y8st|m.0d1b_|m.0h7hb4
1750,m.0347sv,where did willy wonka take place,['fictional_universe.fictional_character.appears_in_these_fictional_universes'],m.04rn2rz|m.0fv9n
1751,m.051cc,what degree did martin luther king get,['people.person.education|education.education.degree'],m.014mlp|m.04zx3q1|m.05vjnk|m.079h0
1752,m.0pth,what type of music did vivaldi write,['music.artist.genre'],m.01fsz|m.0ggq0m
1753,m.02vsp,what books has elie wiesel written,['book.author.book_editions_published'],m.028xwsh|m.028y1sf|m.04tpl_8|m.04tpl_j|m.04tplgb|m.04tplh0|m.04tplhg|m.04tplhx|m.04tplj4|m.04tpljl|m.04tplk0|m.04tplk8|m.04tplkq|m.04tpll4|m.04tplld|m.04tplln|m.04tpllw|m.04tplm9|m.04tplmk|m.04tplmt|m.04tpln0|m.04tplng|m.04tplnp|m.04tplp_|m.04tplp3|m.04tplpk|m.04tplq7|m.04tplqg|m.04tplqx|m.04tplrb|m.04tplrs|m.04tpls6|m.04tplsn|m.04tplt2|m.04tpltj|m.04tplts|m.04tplv6|m.04tplvf|m.04tplvw|m.04tplw_|m.04tplw3|m.04tplwk|m.04tplx6|m.04tplxg|m.04tplxx|m.04tply9|m.04tplyq|m.04tplz4|m.04tplzd|m.04tplzv|m.04vcmmw|m.04vcmn_|m.04vcmn3|m.04vcmnh|m.04vcmpd|m.04vcmpp|m.04vcmq1|m.04vcmqm|m.04vcmr5|m.04vcmrx|m.04vcms4|m.04vcmsd|m.04vcmsx|m.04vcmt4|m.04vcmtd|m.04vcmtt|m.04vcp2t|m.04vcp3n|m.04vcp4b|m.04vcp56|m.04vcp5n|m.04vcp7h|m.04vk5dj|m.04vk5fb|m.04vk5g4|m.04vk5gf|m.04vl4vp|m.04vl4xv|m.04vlt_7|m.04vlt_j|m.04vlt_v|m.04vlt52|m.04vlt66|m.04vlt6j|m.04vlt9c|m.04vltb1|m.04vltbt|m.04vltdl|m.04vltf4|m.04vltfm|m.04vltgv|m.04vltlc|m.04vltlw|m.04vltmm|m.04vltpc|m.04vltpp|m.04vltq4|m.04vltqr|m.04vltr0|m.04vltrd|m.04vltrw|m.04vltsc|m.04vltsv|m.04vltt2|m.04vlttd|m.04vlttp|m.04vlttz|m.04vltv9|m.04vltvs|m.04vltw9|m.04vltwr|m.04vltx6|m.04vltxp|m.04vltxy|m.04vlty7|m.04vltyh|m.04vltyz|m.04vltzh|m.04vltzs|m.04vlv08|m.04vlv0k|m.04vlv10|m.04vlv1l|m.04vlv1w|m.04vlv2_|m.04vlv25|m.04vlv2f|m.04vlv2q|m.04vlv8j|m.04vlv90|m.04vlv9h|m.04vlvbx|m.04vlvcf|m.04w0qfs|m.04w0qg0|m.04w0qgr|m.04w0qjl|m.04w0qjv|m.04yl7mn|m.04yl7n5|m.04yl7ng|m.04yl7nr|m.04yl7p0|m.04yl7p9|m.04yl7pm|m.04yl7qh|m.04yl7r_|m.04yl7r0|m.04yl7rn|m.04yl7sw|m.04yl7t8|m.04yl7tk|m.04yl7tv|m.04yl7v9|m.04yl7vr|m.04yl7w5|m.04yl7wp|m.04yl7x8|m.04yl7y_|m.04yl7yc|m.04yl7z9|m.05bqdxp
1754,m.0bwjj,when did the boston celtics win their first championship,['sports.sports_team.championships'],m.0cs2n0
1755,m.01vb6z,who is cameron crowe,['people.person.profession'],m.01d_h8|m.02h6676|m.02hrh1q|m.02jknp|m.0cbd2|m.0d8qb|m.0dxtg
1756,m.06bnz,what is the national anthem of russia,['location.country.national_anthem|government.national_anthem_of_a_country.anthem'],m.01ptxd
1757,m.04znbt,what college did lee corso attend,['people.person.education|education.education.institution'],m.01jq0j
1758,m.0h5g_,what films did liam neeson star in,['film.actor.film|film.performance.film'],m.01_0f7|m.010hct98|m.012y5v|m.019vhk|m.01dh6f|m.01hdzl3|m.01l63z|m.020bv3|m.027rkbd|m.027v2lz|m.02fqrf|m.02ll45|m.02pm8zp|m.02pnb78|m.02prwdh|m.02pxhgv|m.02q88q8|m.02rq8k8|m.02w7c9c|m.02xhkvz|m.02xhkwb|m.033_m2|m.035s95|m.03c2h8h|m.03m4mj|m.03mgw2v|m.03mgx6z|m.03t79f|m.046f3p|m.04dx7g|m.04j1b7x|m.04j2qhy|m.04ydvzd|m.05p4097|m.05sjt9|m.05szq8z|m.060hk0|m.0639bg|m.063fh9|m.0642ykh|m.06p361|m.07_k0c0|m.07l4yp8|m.080p93d|m.092cdq|m.095k_x|m.09g96w7|m.09k5kmz|m.09lcsj|m.0b1c19|m.0b7b7v4|m.0bb2g9p|m.0bh5v1y|m.0bh8tgs|m.0blvtr|m.0bmch_x|m.0bpm4yw|m.0bw20|m.0cd3kf|m.0crdxqs|m.0crrmnr|m.0crrtl8|m.0crscqh|m.0cs17mf|m.0cs1dh7|m.0ddhlx3|m.0ddt_|m.0dmnww|m.0gwys7m|m.0gxs87f|m.0hfzr|m.0hhggmy|m.0j27q89|m.0jws4d1|m.0n4g1dj|m.0ng4tdd|m.0ng5055|m.0ngxr4w|m.0pbw9qb|m.0pmfg28|m.0pv54|m.0vnltcd|m.0vps74l|m.0w4fbhm|m.0wry9ll
1759,m.059dn,what are all the countries in nato,['organization.membership_organization.members|organization.organization_membership.member'],m.015qh|m.0345h|m.059j2|m.05qhw|m.07ssc|m.09c7w0
1760,m.0bslxh,what does tim gunn do for a living,['people.person.profession'],m.02hrh1q|m.02jknp|m.02n9jv|m.03gjzk|m.0dxtg|m.0dypbr|m.0kyk|m.0np9r
1761,m.02ncr,what was eli whitney job,['people.person.profession'],m.01d30f|m.03sbb|m.09j9h
1762,m.07_m9_,what political party was adolf hitler from,['government.politician.party|government.political_party_tenure.party'],m.05g9h|m.0dl13
1763,m.0c8kc,who did hermione granger marry,['fictional_universe.fictional_character.married_to|fictional_universe.marriage_of_fictional_characters.spouses'],m.0c8jw
1764,m.06f32,what does taiwan people speak,['location.country.languages_spoken'],m.03115z|m.09q16b|m.0dxj6|m.0g1jw
1765,m.01nnsv,what state is george washington university located in,['organization.organization.headquarters|location.mailing_address.state_province_region'],m.0rh6k
1766,m.04rrx,what is the state bird and flower of michigan,['government.governmental_jurisdiction.official_symbols|location.location_symbol_relationship.symbol'],m.0hscv|m.0hzbd21
1767,m.01pl7g,where was governor cuomo born,['people.person.place_of_birth'],m.0ccvx|m.02sts9
1768,m.07sz1,who are the judges of the supreme court,['law.court.judges|law.judicial_tenure.judge'],m.01_4j|m.0166zk|m.016m0v|m.0199pk|m.019s7r|m.04gnxk|m.066vhq|m.06lnfm|m.06lvrr
1769,m.01p1jv,who is the president of brazil now,['government.government_office_or_title.office_holders|government.government_position_held.office_holder'],m.026m5c8
1770,m.01ct6,what years have the ravens won the super bowl,['sports.sports_team.championships'],m.0_gt_qt|m.0_gtz8t|m.0642vqv|m.076yq
